title,url,slug
Yoruba - English Words for Toddlers - First 100 Words,https://www.amazon.com/gp/product/2492960552,first-100-words-in-yoruba
Yoruba - English Words for Toddlers - Fruits and Vegetables,https://www.amazon.com/gp/product/2492960560,fruits-and-vegetables-in-yoruba
Yoruba - English Words for Toddlers - Animals,https://www.amazon.com/gp/product/2492960587,animals-in-yoruba
Yoruba - English Words for Toddlers - Action Verbs,https://www.amazon.com/gp/product/2492960579,action-verbs-in-yoruba
Yoruba - English Bilingual Coloring Book for Kids Ages 3 - 6,https://www.amazon.com/gp/product/B0C2SMCSSL,bilingual-coloring-book-in-yoruba
Yoruba - English Animals Coloring Book for Kids Ages 4-8,https://www.amazon.com/gp/product/B0CMK7LLB8,animals-coloring-book-in-yoruba
Yoruba - English Fruits and Vegetables Coloring Book for Kids Ages 4-8,https://www.amazon.com/gp/product/B0CP96P92L,fruits-and-vegetables-coloring-book-in-yoruba
