title,url,slug
Hausa - English Words for Toddlers - First 100 Words,https://www.amazon.com/gp/product/2492960595,first-100-words-in-hausa
Hausa - English Words for Toddlers - Fruits and Vegetables,https://www.amazon.com/gp/product/2492960609,fruits-and-vegetables-in-hausa
Hausa - English Words for Toddlers - Action Verbs,https://www.amazon.com/gp/product/2492960617,action-verbs-in-hausa
Hausa - English Words for Toddlers - Animals,https://www.amazon.com/gp/product/2492960625,animals-in-hausa
Hausa - English Bilingual Coloring Book for Kids Ages 3 - 6,https://www.amazon.com/gp/product/B0C2S6B7ZK,bilingual-coloring-book-in-hausa
Hausa - English Animals Coloring Book for Kids Ages 4-8,https://www.amazon.com/gp/product/B0CMKC4H18,animals-coloring-book-in-hausa
Hausa - English Fruits and Vegetables Coloring Book for Kids Ages 4-8,https://www.amazon.com/gp/product/B0CPDHZJ3X,fruits-and-vegetables-coloring-book-in-hausa
