title,url,slug
Amharic - English Words for Toddlers - First 100 Words,https://www.amazon.com/gp/product/2492960382,first-100-words-in-amharic
Amharic - English Words for Toddlers - Fruits and Vegetables,https://www.amazon.com/gp/product/2492960390,fruits-and-vegetables-in-amharic
Amharic - English Words for Toddlers - Action Verbs,https://www.amazon.com/gp/product/2492960404,action-verbs-in-amharic
Amharic - English Words for Toddlers - Animals,https://www.amazon.com/gp/product/2492960412,animals-in-amharic
Amharic - English Bilingual Coloring Book for Kids Ages 3 - 6,https://www.amazon.com/gp/product/B0C2SD23CV,bilingual-coloring-book-in-amharic
Amharic - English Animals Coloring Book for Kids Ages 4-8,https://www.amazon.com/gp/product/B0CMK6YF6M,animals-coloring-book-in-amharic
Amharic - English Fruits and Vegetables Coloring Book for Kids Ages 4-8,https://www.amazon.com/gp/product/B0CP62C1JQ,fruits-and-vegetables-coloring-book-in-amharic
