title,url,slug
Swahili - English Words for Toddlers - First 100 Words,https://www.amazon.com/gp/product/2492960250,first-100-words-in-swahili
Swahili - English Words for Toddlers - Fruits and Vegetables,https://www.amazon.com/gp/product/2492960226,fruits-and-vegetables-in-swahili
Swahili - English Words for Toddlers - Action Verbs,https://www.amazon.com/gp/product/2492960234,action-verbs-in-swahili
Swahili - English Words for Toddlers - Animals,https://www.amazon.com/gp/product/2492960242,animals-in-swahili
My First Picture Book in Swahili - Mon Premier Imagier en Swahili,https://www.amazon.com/gp/product/2492960110,my-first-picture-book-in-swahili
Swahili - English Bilingual Coloring Book for Kids Ages 3 - 6,https://www.amazon.com/gp/product/B0C2RVJKM5,bilingual-coloring-book-in-swahili
Swahili - English Animals Coloring Book for Kids Ages 4-8,https://www.amazon.com/gp/product/B0CMDHKD87,animals-coloring-book-in-swahili
Swahili - English Fruits and Vegetables Coloring Book for Kids Ages 4-8,https://www.amazon.com/gp/product/B0CP2LY637,fruits-and-vegetables-coloring-book-in-swahili
