title,url,slug
Krio - English Words for Toddlers - First 100 Words,https://www.amazon.com/gp/product/B0DQL866DW,first-100-words-in-krio
Krio - English Words for Toddlers - Fruits and Vegetables,https://www.amazon.com/gp/product/B0DR28VMJ4,fruits-and-vegetables-in-krio
Krio - English Words for Kids - Action Verbs,https://www.amazon.com/gp/product/B0DS9JSP2B,action-verbs-in-krio
Krio - English Words for Kids - Animals,https://www.amazon.com/gp/product/B0DWRX3ZD1,animals-in-krio
Krio - English Bilingual Coloring Book for Kids Ages 3 - 6,https://www.amazon.com/gp/product/B0DXDZFCGV,bilingual-coloring-book-in-krio
Krio - English Animals Coloring Book for Kids Ages 4-8,https://www.amazon.com/gp/product/B0DY4F47BC,animals-coloring-book-in-krio
Krio - English Fruits and Vegetables Coloring Book for Kids Ages 4-8,https://www.amazon.com/gp/product/B0DYN2FRKC,fruits-and-vegetables-coloring-book-in-krio
